Year,Agriculture & Allied,,Agriculture,,Industry,,Mining & Quarrying,,Manufacturing,,Services,
,current,04-05,current,04-05,current,04-05,current,04-05,current,04-05,current,04-05
1950-51,51.81,51.88,45.48,41.83,14.16,16.19,0.75,1.84,10.51,8.98,33.25,29.54
1951-52,50.67,51.45,44.56,41.54,15.00,16.69,0.79,2.02,11.04,9.05,33.59,29.63
1952-53,50.05,51.61,44.43,42.08,14.38,16.22,0.83,2.01,10.54,9.10,35.22,29.71
1953-54,50.64,52.39,45.24,43.23,14.47,16.15,0.77,1.92,10.91,9.25,34.34,28.81
1954-55,45.86,51.73,40.41,42.63,16.20,16.77,0.85,1.92,12.05,9.49,38.18,28.94
1955-56,43.77,50.01,38.43,40.95,17.06,18.07,0.86,1.90,12.19,9.98,39.78,29.62
1956-57,46.58,49.89,41.19,41.06,16.84,18.56,0.87,1.89,12.16,10.15,36.44,29.31
1957-58,44.61,48.23,39.35,39.45,17.20,18.61,0.99,2.04,12.66,10.67,38.34,30.78
1958-59,46.27,49.34,41.05,40.80,16.69,18.49,0.95,1.95,12.09,10.41,36.87,29.79
1959-60,44.26,47.80,39.09,39.34,17.76,19.33,0.96,2.01,12.89,10.88,38.04,30.60
1960-61,42.56,47.65,37.45,39.41,19.30,20.09,1.04,2.16,13.71,11.00,38.25,30.19
1961-62,41.77,46.25,36.55,38.10,19.93,20.80,1.04,2.21,14.33,11.58,38.36,30.85
1962-63,39.89,44.39,34.90,36.51,20.61,21.76,1.17,2.43,14.88,12.17,39.91,31.92
1963-64,41.08,43.24,36.10,35.41,20.54,22.74,1.11,2.38,14.85,12.68,38.47,32.19
1964-65,42.96,43.90,38.00,36.31,19.64,22.57,1.00,2.24,13.97,12.60,37.15,31.64
1965-66,40.91,40.53,35.96,32.61,20.43,24.38,1.10,2.60,14.23,13.20,38.73,33.76
1966-67,41.81,39.56,36.79,31.54,20.06,25.01,1.05,2.63,13.67,13.17,37.95,34.45
1967-68,44.53,42.02,39.43,34.15,18.78,23.89,1.04,2.51,12.43,12.22,36.16,33.07
1968-69,43.52,40.88,38.24,33.17,19.35,24.41,1.06,2.52,12.75,12.57,36.71,33.71
1969-70,43.29,40.85,38.16,33.39,20.11,24.62,1.07,2.48,13.36,13.07,36.07,33.28
1970-71,41.95,41.66,36.88,34.16,20.48,23.62,1.05,2.20,13.70,12.74,37.22,33.26
1971-72,40.28,40.47,35.25,32.92,21.23,23.97,1.03,2.23,14.29,13.02,38.37,34.14
1972-73,40.28,38.56,35.17,31.16,21.29,24.92,1.01,2.37,14.44,13.57,38.27,35.25
1973-74,43.31,39.54,37.97,32.32,20.16,23.99,0.94,2.30,14.25,13.56,35.79,34.82
1974-75,40.31,38.49,35.14,31.07,21.47,24.05,1.15,2.38,15.56,13.80,37.60,35.84
1975-76,37.62,39.86,32.59,32.55,22.19,23.62,1.37,2.45,15.24,12.92,40.05,35.06
1976-77,35.75,37.09,30.84,30.19,23.45,25.35,1.46,2.51,15.69,13.88,40.86,36.23
1977-78,37.09,37.98,32.13,31.61,23.20,25.24,1.41,2.41,15.40,13.72,39.47,35.38
1978-79,35.47,36.83,30.43,30.55,24.26,25.58,1.43,2.34,16.50,14.61,40.12,35.77
1979-80,33.63,33.89,28.55,27.92,25.02,26.13,1.64,2.50,17.31,14.92,41.33,38.57
1980-81,35.39,35.69,30.20,29.82,24.29,25.66,1.71,2.62,16.18,13.95,39.92,37.65
1981-82,34.07,35.35,28.96,29.60,25.12,26.23,2.60,2.82,16.25,14.28,40.39,37.49
1982-83,32.88,34.25,27.79,28.72,25.19,25.85,2.87,3.06,15.88,14.33,41.53,39.03
1983-84,33.54,34.97,28.58,29.49,25.22,25.86,2.75,2.92,16.10,14.65,40.81,38.25
1984-85,32.21,34.17,27.36,28.79,25.57,25.88,2.75,2.84,16.11,14.69,41.83,39.04
1985-86,30.89,32.91,26.21,27.69,25.70,25.94,2.64,2.88,15.98,14.55,43.06,40.36
1986-87,29.74,31.42,25.12,26.44,25.89,26.30,2.76,3.10,15.84,14.71,44.05,41.62
1987-88,29.18,29.86,24.64,25.10,25.92,26.81,2.55,3.10,15.87,15.01,44.58,42.76
1988-89,30.20,31.35,25.70,26.62,25.79,26.56,2.79,3.27,15.68,14.78,43.67,41.51
1989-90,28.97,29.89,24.53,25.18,26.53,27.10,2.67,3.32,16.41,15.16,44.17,42.58
1990-91,29.02,29.53,24.65,24.94,26.49,27.63,2.60,3.48,16.16,15.08,44.18,42.55
1991-92,29.39,28.54,25.16,24.02,25.40,27.33,2.47,3.55,15.21,14.51,44.96,43.91
1992-93,28.74,28.89,24.56,24.41,25.77,26.77,2.48,3.40,15.36,14.20,45.22,44.05
1993-94,28.68,28.24,24.46,23.83,25.50,26.73,2.48,3.26,15.32,14.59,45.57,44.76
1994-95,28.27,27.80,24.08,23.46,26.41,27.42,2.40,3.35,16.20,15.20,45.03,44.52
1995-96,26.26,25.73,22.39,21.65,27.40,28.44,2.28,3.30,17.30,16.36,46.05,45.69
1996-97,27.13,26.19,23.25,22.14,26.60,28.03,2.15,3.08,16.94,16.59,45.96,45.51
1997-98,25.89,24.47,21.98,20.59,26.41,27.95,2.33,3.24,15.85,15.91,47.45,47.53
1998-99,25.79,24.39,22.04,20.68,25.74,27.28,2.16,3.12,15.00,15.38,48.26,48.24
1999-2K,24.50,23.18,20.96,19.61,25.22,26.77,2.25,3.01,14.60,15.01,50.27,50.05
2000-01,23.02,22.26,19.43,18.71,26.00,27.25,2.29,2.96,15.31,15.46,50.98,50.49
2001-02,22.92,22.39,19.34,18.90,25.08,26.54,2.21,2.86,14.64,15.01,51.99,51.07
2002-03,20.70,20.13,17.26,16.72,26.17,27.39,2.69,2.98,14.87,15.44,53.13,52.48
2003-04,20.74,20.33,17.49,17.16,26.01,27.22,2.44,2.84,14.90,15.21,53.25,52.44
2004-05,19.03,19.03,16.04,16.04,27.93,27.93,2.86,2.86,15.25,15.25,53.05,53.05
2005-06,18.81,18.27,15.83,15.46,28.13,27.99,2.79,2.65,15.39,15.34,53.06,53.74
2006-07,18.29,17.37,15.30,14.69,28.84,28.65,2.70,2.60,16.06,16.00,52.87,53.98
2007-08,18.26,16.81,15.63,14.29,29.03,28.74,2.72,2.46,15.99,16.14,52.71,54.45
2008-09,17.78,15.77,15.21,13.36,28.29,28.13,2.64,2.36,15.43,15.78,53.93,56.11
2009-10,17.74,14.64,15.20,12.35,27.76,28.27,2.61,2.30,15.10,16.17,54.50,57.09
2010-11,18.21,14.59,15.78,12.42,27.16,27.92,2.83,2.25,14.80,16.17,54.64,57.48
2011-12,17.86,14.37,15.50,12.26,27.22,28.22,2.65,2.11,14.73,16.28,54.91,57.42
2012-13,17.52,13.95,15.10,11.85,26.21,27.27,2.37,1.98,14.07,15.76,56.27,58.79
2013-14,18.20,13.94,15.79,11.87,24.77,26.13,2.13,1.86,12.89,14.94,57.03,59.93

